status,nonlinearity,run_dir,run_npz,spice_npz,output_dir,run_npz_exists,spice_npz_exists,node_weighted_p50,node_weighted_p90,node_weighted_p99,avg_p50,avg_p90,avg_p99,returncode,stderr,stdout
ok,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-151007_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-151007_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-151007_experimental/error_npz_vs_spice,,,,,,,,,,,
ok,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/error_npz_vs_spice,,,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260317-161514_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260317-161514_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260317-161514_experimental/error_npz_vs_spice,True,False,,,,,,,,,
ok,single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_64/20260317-170659_single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_64/20260317-170659_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_64/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_64/20260317-170659_single_diode_exponential/error_npz_vs_spice,,,,,,,,,,,
compare_failed,single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_128/20260316-172522_single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_128/20260316-172522_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_128/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_128/20260316-172522_single_diode_exponential/error_npz_vs_spice,,,,,,,,,1,"Traceback (most recent call last):
  File ""/home/filip/server_code/labs/tools/error_compare_npz.py"", line 291, in <module>
    raise SystemExit(main())
                     ^^^^^^
  File ""/home/filip/server_code/labs/tools/error_compare_npz.py"", line 240, in main
    summary_path = write_npz_error_summary(
                   ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/filip/server_code/labs/paper_post_processing.py"", line 601, in write_npz_error_summary
    rel_err, mae, ref_mean_abs = compute_relative_L1_error(values_a, values_b, axis=1)
                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/filip/server_code/labs/paper_post_processing.py"", line 57, in compute_relative_L1_error
    raise ValueError(
ValueError: Shape mismatch: cd_voltages (360, 10) vs spice_voltages (360, 20)
","Saved error summary to /home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_128/20260316-172522_single_diode_exponential/error_npz_vs_spice/Layer_1_vs_Layer_1_error_summary.json
"
ok,single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_256/20260311-170349_single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_256/20260311-170349_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_256/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_256/20260311-170349_single_diode_exponential/error_npz_vs_spice,,,,,,,,,,,
ok,single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_512/20260311-170405_single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_512/20260311-170405_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_512/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_512/20260311-170405_single_diode_exponential/error_npz_vs_spice,,,,,,,,,,,
ok,single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_1024/20260311-170419_single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_1024/20260311-170419_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_1024/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_1024/20260311-170419_single_diode_exponential/error_npz_vs_spice,,,,,,,,,,,
ok,single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_64/20260317-103528_single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_64/20260317-103528_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_64/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_64/20260317-103528_single_diode_exponential/error_npz_vs_spice,,,,,,,,,,,
ok,single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_128/20260314-160910_single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_128/20260314-160910_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_128/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_128/20260314-160910_single_diode_exponential/error_npz_vs_spice,,,,,,,,,,,
ok,single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_256/20260317-094836_single_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_256/20260317-094836_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_256/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_256/20260317-094836_single_diode_exponential/error_npz_vs_spice,,,,,,,,,,,
