status,nonlinearity,plot_variant,depth,width,coord_source_rel_path,spice_source_rel_path,output_rel_path,p90_rel_l1_node_weighted,mean_mae_node_weighted,note
missing_or_failed,experimental,progressive_inner_tolerance,1,512,hidden_1/hidden_512/20260317-113706_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_512/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,progressive_inner_tolerance,1,1024,hidden_1/hidden_1024/20260317-113706_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,progressive_inner_tolerance,2,64,hidden_2/hidden_64/20260313-150228_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.timing.json,,,,
ok,experimental,progressive_inner_tolerance,2,128,hidden_2/hidden_128/20260313-150244_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,experimental/hidden_2/hidden_128/20260313-150244_experimental/error_npz_vs_spice,1.3533619079228063e-05,1.483449324236207e-05,
missing_or_failed,experimental,progressive_inner_tolerance,2,256,hidden_2/hidden_256/20260313-150302_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.timing.json,,,,
no_spice_path,experimental,progressive_inner_tolerance,2,512,hidden_2/hidden_512/20260313-150320_experimental/time_digits_validate_with_residual.log,,,,,
no_spice_path,experimental,progressive_inner_tolerance,2,1024,hidden_2/hidden_1024/20260313-150347_experimental/time_digits_validate_with_residual.log,,,,,
ok,experimental,progressive_inner_tolerance,3,64,hidden_3/hidden_64/validation/20260313-151007_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_64/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_64/validation/20260313-151007_experimental/error_npz_vs_spice,1.272795072927572e-05,2.129106380315559e-05,
ok,experimental,progressive_inner_tolerance,3,128,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/error_npz_vs_spice,1.4852313428213184e-05,1.2503477076768561e-05,
ok,experimental,progressive_inner_tolerance,3,256,hidden_3/hidden_256/validation/20260317-161514_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_256/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_256/validation/20260317-161514_experimental/error_npz_vs_spice,0.0632856452341136,0.04324670615664648,
no_spice_path,experimental,progressive_inner_tolerance,3,512,hidden_3/hidden_512/validation/20260313-171929_experimental/time_digits_validate_with_residual.log,,,,,
ok,single_diode_exponential,main,1,64,hidden_1/hidden_64/20260317-170659_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_64/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_64/20260317-170659_single_diode_exponential/error_npz_vs_spice,0.06849977464065758,0.07661082418131966,
missing_or_failed,single_diode_exponential,main,1,128,hidden_1/hidden_128/20260316-172522_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_128/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_128/20260316-172522_single_diode_exponential/error_npz_vs_spice,,,shape_mismatch
ok,single_diode_exponential,main,1,256,hidden_1/hidden_256/20260311-170349_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_256/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_256/20260311-170349_single_diode_exponential/error_npz_vs_spice,1.6334111355152485e-05,1.8776623254856095e-05,
ok,single_diode_exponential,main,1,512,hidden_1/hidden_512/20260311-170405_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_512/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_512/20260311-170405_single_diode_exponential/error_npz_vs_spice,1.1642279633887151e-05,5.57901374618997e-06,
ok,single_diode_exponential,main,1,1024,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_1024/20260311-170419_single_diode_exponential/error_npz_vs_spice,1.1352281270289233e-05,5.767244471884173e-06,
ok,single_diode_exponential,main,2,64,hidden_2/hidden_64/20260317-103528_single_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_64/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_2/hidden_64/20260317-103528_single_diode_exponential/error_npz_vs_spice,0.10335948880652478,0.025988195260342118,
ok,single_diode_exponential,main,2,128,hidden_2/hidden_128/20260314-160910_single_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_128/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_2/hidden_128/20260314-160910_single_diode_exponential/error_npz_vs_spice,1.0785640628131756e-05,4.589455741375594e-06,
ok,single_diode_exponential,main,2,256,hidden_2/hidden_256/20260317-094836_single_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_256/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_2/hidden_256/20260317-094836_single_diode_exponential/error_npz_vs_spice,0.5709201367246044,0.037789844577016986,
no_spice_path,single_diode_exponential,main,2,512,hidden_2/hidden_512/20260317-105922_single_diode_exponential/time_digits_validate_with_residual.log,,,,,
no_spice_path,single_diode_exponential,main,2,1024,hidden_2/hidden_1024/20260317-110028_single_diode_exponential/time_digits_validate_with_residual.log,,,,,
