architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms,epoch
conv3,ours,1,H2,centered_halfspan,3612672,2.178109329749875e-05,2.4554187682505266e-06,-1.940562229724921e-08,5.452180687721326e-07,36,2.3311000820343003e-06,2.3169722248448333e-06,1.5897076966236087e-06,2.879713067703135e-06,7.823396131494309e-07,2.8314877298267066e-05,23
conv3,ours,1,H2,negative_minus_free,3612672,2.1789812316933815e-05,2.4559101738378435e-06,1.935605309375614e-08,5.452713904458236e-07,36,2.3313704869557133e-06,2.3195196421544703e-06,1.589897239287384e-06,2.879549022550815e-06,7.83096995313859e-07,2.832052040186885e-05,23
conv3,ours,1,H2,negative_minus_matched_zero,3612672,2.178958501338309e-05,2.455897364214922e-06,1.9309182969389533e-08,5.452670207767057e-07,36,2.3313557490788174e-06,2.319495987340372e-06,1.589888133947894e-06,2.879552751392103e-06,7.83100804542302e-07,2.832037274477428e-05,23
conv3,ours,1,H2,positive_minus_free,3612672,2.1778560161624636e-05,2.4552759817949324e-06,-1.9455191500742283e-08,5.452191096396298e-07,36,2.3311437245842607e-06,2.315697713948309e-06,1.5895479372570943e-06,2.879917726219936e-06,7.817446962856805e-07,2.8313254304179472e-05,23
conv3,ours,1,H2,positive_minus_matched_zero,3612672,2.177878613884898e-05,2.4552887198962577e-06,-1.950206162510889e-08,5.452234369354007e-07,36,2.331158379699801e-06,2.3157212368698597e-06,1.5895570233788423e-06,2.879913955963794e-06,7.817408968812989e-07,2.8313401136777913e-05,23
conv3,ours,1,H2,zero_nudge_drift,3612672,1.7475140035963544e-13,2.1993587011976084e-10,4.687012436660293e-11,6.102789717207416e-11,36,1.9823247961596967e-10,1.7837300158868422e-10,1.239793088780858e-10,2.8400929633892644e-10,9.661767890033034e-11,0.035583841104038505,23
conv3,ours,2,H3,centered_halfspan,7225344,0.25770478120746326,0.00018885651602427962,-2.494387868946166e-08,2.388386291070275e-05,36,0.00018117119947687538,0.0001707936226994716,0.0001272020069016143,0.0002337857876080669,5.408355559365325e-05,0.002177815510474295,23
conv3,ours,2,H3,negative_minus_free,7225344,0.2578384128034308,0.00018890547500501246,2.323624101391157e-08,2.3883705335425803e-05,36,0.0001812099653189016,0.00017073884152216847,0.00012721091352572327,0.00023378426574646274,5.412582441885031e-05,0.0021783782712801367,23
conv3,ours,2,H3,negative_minus_matched_zero,7225344,0.25783827582309027,0.00018890542482563955,2.2886898598323337e-08,2.388371173578471e-05,36,0.00018120991057133529,0.00017073872415343018,0.00012721087254381934,0.00023378424337215588,5.412583281160017e-05,0.0021783776970998314,23
conv3,ours,2,H3,positive_minus_free,7225344,0.25780288616163877,0.00018889246024847688,-2.6651516365011813e-08,2.388402072770515e-05,36,0.000181207782195085,0.00017097422152659227,0.00012720126560645238,0.00023379408736621924,5.408660874238065e-05,0.002178231817038938,23
conv3,ours,2,H3,positive_minus_matched_zero,7225344,0.257803022704877,0.0001888925102711612,-2.700085878060001e-08,2.3884014259446502e-05,36,0.00018120783678280422,0.00017097433802178968,0.00012720130646466302,0.00023379410966386615,5.4086600321374497e-05,0.002178232389413781,23
conv3,ours,2,H3,zero_nudge_drift,7225344,5.037593111550257e-11,2.640476330831692e-09,3.4934241558826817e-10,5.170272860519084e-10,36,2.3703791126555047e-09,2.1727617816346176e-09,1.454673304049776e-09,3.429763392679723e-09,1.1798674522998673e-09,0.42720766805399585,23
conv3,ours,3,Output,centered_halfspan,11520,86.63118466806326,0.08671832628428179,1.9567844635550463e-05,0.045437062909395684,36,0.08355635894170402,0.07969804602528735,0.059194590875082054,0.11020560343330268,0.02353265681211165,1.0,23
conv3,ours,3,Output,negative_minus_free,11520,86.63132894745307,0.08671839849651138,-1.9586467151153683e-05,0.04543707653171351,36,0.08355642714342891,0.07969801342878464,0.05919461094414162,0.11020478543648783,0.023532681438911743,1.0,23
conv3,ours,3,Output,negative_minus_matched_zero,11520,86.63132859215432,0.08671839831868344,-1.9588893103884416e-05,0.045437076447353626,36,0.08355642695231538,0.07969801329119303,0.05919461082968108,0.11020478538771505,0.023532681462855677,1.0,23
conv3,ours,3,Output,positive_minus_free,11520,86.63104049030255,0.08671825412285779,1.954922211994699e-05,0.04543704928707785,36,0.08355629078278955,0.07969807862505515,0.05919457080895102,0.11020642151844606,0.02353263222153109,1.0,23
conv3,ours,3,Output,positive_minus_matched_zero,11520,86.63104084558849,0.08671825430067959,1.9546796167216345e-05,0.045437049371437735,36,0.08355629097389769,0.07969807876263249,0.059194570923415395,0.11020642156721387,0.023532632197583718,1.0,23
conv3,ours,3,Output,zero_nudge_drift,11520,4.400874237820324e-13,6.1807793452292516e-09,2.4259527306435087e-09,3.43390266228583e-09,36,5.412680772018221e-09,4.835981553856742e-09,3.048039430900082e-09,7.712485209347742e-09,3.026441221193742e-09,1.0,23
