scheme,checkpoint_role,epoch,parameter,layer_index,estimator,element_count,n_batches,gradient_l2_n_defined,gradient_l2_mean,gradient_l2_median,gradient_l2_p10,gradient_l2_p90,gradient_l2_std,gradient_rms_n_defined,gradient_rms_mean,gradient_rms_median,gradient_rms_p10,gradient_rms_p90,gradient_rms_std,norm_relative_to_initial_n_defined,norm_relative_to_initial_mean,norm_relative_to_initial_median,norm_relative_to_initial_p10,norm_relative_to_initial_p90,norm_relative_to_initial_std,exact_zero_fraction_n_defined,exact_zero_fraction_mean,exact_zero_fraction_median,exact_zero_fraction_p10,exact_zero_fraction_p90,exact_zero_fraction_std,abs_le_1e_minus12_fraction_n_defined,abs_le_1e_minus12_fraction_mean,abs_le_1e_minus12_fraction_median,abs_le_1e_minus12_fraction_p10,abs_le_1e_minus12_fraction_p90,abs_le_1e_minus12_fraction_std
ours,trained,23,ConvWeight_0,0,eqprop,1152,36,36,0.002014774731463441,0.0016520042208187423,0.0009433010106791734,0.0035030045132197086,0.0013414718087927525,36,5.93608697992127e-05,4.8672641128738814e-05,2.779227255630698e-05,0.00010320826024269738,3.952349219866414e-05,36,0.2503345604208876,0.20385846512097247,0.10258584915575755,0.43569245184852906,0.17795209280211916,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
ours,trained,23,ConvWeight_0,0,bptt,1152,36,36,0.002016942263441309,0.0016541223049929676,0.0009487896952443929,0.0034917500537562157,0.0013420369363405977,36,5.9424731322545564e-05,4.8735045782185416e-05,2.7953984476134506e-05,0.00010287667255081301,3.954014242871899e-05,36,0.2519375922306149,0.20234866571243088,0.09331315599540134,0.49263956625034316,0.18445245622382672,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
ours,trained,23,ConvWeight_1,1,eqprop,73728,36,36,0.009632120097876735,0.009123527587862043,0.00631938456008709,0.013507335410233221,0.003454842516633862,36,3.5473632491728504e-05,3.3600563675623935e-05,2.3273331642516406e-05,4.974546075175567e-05,1.2723659226267716e-05,36,1.9218741758006475,1.8560007453044571,1.246297789863636,2.6024980319019737,0.6807124819424434,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
ours,trained,23,ConvWeight_1,1,bptt,73728,36,36,0.009632718693172395,0.009111920714433647,0.00631653567550647,0.013504118941189502,0.0034569323682760774,36,3.547583702710738e-05,3.3557817327136476e-05,2.3262839634152995e-05,4.9733614985754155e-05,1.2731355831829614e-05,36,1.9088704899312476,1.8214997493767515,1.2181816876641023,2.5905303125749954,0.6825168375270892,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
ours,trained,23,ConvWeight_2,2,eqprop,294912,36,36,0.03946602192853734,0.03652679746238399,0.02899636625788883,0.05417434561787121,0.0112940961529078,36,7.267367638574413e-05,6.726131817885234e-05,5.339460211125518e-05,9.975793529359495e-05,2.079721869034897e-05,36,4.198849969976598,3.9114839215748454,2.98012913126737,6.021097070113923,1.2984614824066847,36,0.00033399793836805556,0.0,0.0,0.0010986328125,0.0004353250311507933,0,,,,,
ours,trained,23,ConvWeight_2,2,bptt,294912,36,36,0.0394710022912944,0.036547397322958905,0.028996814325624093,0.05415200490687466,0.01129705891918989,36,7.268284734480216e-05,6.729925125464406e-05,5.33954271938959e-05,9.971679657421426e-05,2.0802674399018592e-05,36,4.178068042333715,3.8980585898098514,2.9610508469324897,5.967527140483482,1.2924472738355757,36,0.00033399793836805556,0.0,0.0,0.0010986328125,0.0004353250311507933,0,,,,,
ours,trained,23,DenseWeight_0,3,eqprop,250880,36,36,0.07601023520335791,0.07300252822520391,0.052497563841601015,0.10087148621396405,0.018833934619360282,36,0.0001517536186611213,0.00014574876396509197,0.0001048108226812097,0.00020138883943380046,3.760174829703234e-05,36,0.24261772490928746,0.23092313341461707,0.1648804474213403,0.339910578811376,0.06916985089393782,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
ours,trained,23,DenseWeight_0,3,bptt,250880,36,36,0.07601003952245401,0.07300254305450009,0.05249801181671174,0.10087144338484888,0.018833831978232383,36,0.00015175322798629713,0.0001457487935716226,0.00010481171705870953,0.00020138875392593177,3.7601543375122276e-05,36,0.24266868584766124,0.2309629089172247,0.1649195340036922,0.34000398397817294,0.06918867620066729,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
legacy,trained,23,ConvWeight_0,0,eqprop,1152,36,36,0.011097750505151235,0.007676141402301722,0.004290471748023281,0.0205820766223989,0.009502424255431558,36,0.000326970609921203,0.00022616048495476508,0.00012640923614652344,0.0006064052479416407,0.0002799678595302994,36,0.1511493033282802,0.11889332087669657,0.04845314674002247,0.24938142072451622,0.11447876505867548,36,0.00016878858024691357,0.0,0.0,0.0008680555555555555,0.00040553523624232355,0,,,,,
legacy,trained,23,ConvWeight_0,0,bptt,1152,36,36,0.011097645297103498,0.007676083120418195,0.0042904444798315886,0.02058205293810949,0.009502490143444184,36,0.0003269675101993701,0.00022615876780830414,0.0001264084327497211,0.0006064045501365718,0.00027996980077448804,36,0.15113386113585445,0.11891227787848001,0.04845465494777263,0.24925377209351798,0.11443954892408383,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
legacy,trained,23,ConvWeight_1,1,eqprop,73728,36,36,0.02810919176796164,0.025294520140488604,0.017476218362153004,0.04264042883680877,0.012964008975592663,36,0.0001035218755874935,9.315586832395415e-05,6.436225267382941e-05,0.00015703821032921818,4.7744472177108545e-05,36,0.6125025366449832,0.5427406056393709,0.36483196998185274,0.9857772955855053,0.28321489462685256,36,6.028163580246913e-06,0.0,0.0,1.3563368055555555e-05,8.23078513665364e-06,0,,,,,
legacy,trained,23,ConvWeight_1,1,bptt,73728,36,36,0.028109196410329176,0.02529451900893276,0.017476217110381144,0.042640427863468805,0.012964005283506698,36,0.00010352189268462667,9.315586415660618e-05,6.436224806374415e-05,0.00015703820674455523,4.77444585797178e-05,36,0.6124927785991799,0.5425641183007104,0.3648082959301777,0.9856960678506319,0.28321027659187864,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
legacy,trained,23,ConvWeight_2,2,eqprop,294912,36,36,0.07794452264173425,0.07398975745295325,0.053535487200436285,0.10329618386205162,0.02594652621687289,36,0.0001435289075945799,0.0001362465084201332,9.858152612904719e-05,0.00019021206270715917,4.777855374006603e-05,36,0.8751082220137124,0.8149733730832638,0.5887344265837859,1.1990577084750305,0.2998594578387375,36,9.419005594135802e-08,0.0,0.0,0.0,5.65140335648148e-07,0,,,,,
legacy,trained,23,ConvWeight_2,2,bptt,294912,36,36,0.0779446608644966,0.07398975745806084,0.05353548725219642,0.10329618380163444,0.025946462726644998,36,0.00014352916212127928,0.00013624650842953843,9.858152622435953e-05,0.00019021206259590552,4.777843682764239e-05,36,0.8751011764564125,0.8149570808763078,0.5887218563990081,1.1990613342578427,0.29986694595572483,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
legacy,trained,23,DenseWeight_0,3,eqprop,250880,36,36,0.533647890715173,0.526918970341474,0.36733579128435256,0.7147429342865399,0.13899752099500837,36,0.0010654222854361661,0.0010519880681408313,0.0007333819641790063,0.0014269765959842571,0.00027750705861499363,36,0.18167366628744364,0.1721571750655066,0.12333276541195488,0.2641695724359281,0.05050123603709096,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
legacy,trained,23,DenseWeight_0,3,bptt,250880,36,36,0.5336478928813522,0.5269189721077705,0.3673357923579838,0.7147429352928266,0.1389975211726729,36,0.0010654222897609187,0.0010519880716672236,0.0007333819663224996,0.001426976597993298,0.000277507058969699,36,0.18167368672372397,0.1721572005841724,0.12333278408344876,0.2641695829493791,0.05050124211845024,36,0.0,0.0,0.0,0.0,0.0,0,,,,,
