architecture,scheme,beta,checkpoint_role,estimator,parameter_name,mean_squared_norm_fraction,minimum_squared_norm_fraction,maximum_squared_norm_fraction
conv2,legacy,0.03,reconstructed_initialization,eqprop,ConvWeight_1,0.024597480514106183,0.021470968537129178,0.028686594677114943
conv2,legacy,0.03,reconstructed_initialization,eqprop,DenseWeight_0,0.9732954175052577,0.969176006953841,0.9775363405482387
conv2,legacy,0.03,best_validation,bptt,ConvWeight_0,0.0033342330489916166,0.0007023295597515668,0.007963793631549913
conv2,legacy,0.03,best_validation,bptt,ConvWeight_1,0.12498075442142619,0.09189369683170943,0.17584171020607697
conv2,legacy,0.03,best_validation,bptt,DenseWeight_0,0.8716850125295822,0.820535417551188,0.9069544898654371
conv2,legacy,0.03,best_validation,eqprop,ConvWeight_0,0.003334678456151058,0.0007023290792498099,0.007963801831777846
conv2,legacy,0.03,best_validation,eqprop,ConvWeight_1,0.12497628548686215,0.09188765136452054,0.17583820546856152
conv2,legacy,0.03,best_validation,eqprop,DenseWeight_0,0.8716890360569868,0.82053907203102,0.9069544884665409
conv3,baseline,10,reconstructed_initialization,bptt,ConvWeight_0,0.0011784798792891047,7.844249880980725e-05,0.0038686574076654038
conv3,baseline,10,reconstructed_initialization,bptt,ConvWeight_1,0.0002620944456239832,0.00015054522595326616,0.0004325669614572747
conv3,baseline,10,reconstructed_initialization,bptt,ConvWeight_2,0.0009082851583882678,0.0007418781209250756,0.0010371183660621544
conv3,baseline,10,reconstructed_initialization,bptt,DenseWeight_0,0.9976511405166987,0.9948509498314584,0.9989758658662017
conv3,baseline,10,reconstructed_initialization,eqprop,ConvWeight_0,0.0011750613252602669,7.396301404512164e-05,0.003923886518975843
conv3,baseline,10,reconstructed_initialization,eqprop,ConvWeight_1,0.00026193508754965864,0.00014994117543111712,0.00042907740212051976
conv3,baseline,10,reconstructed_initialization,eqprop,ConvWeight_2,0.0009074987284740919,0.0007417972301568556,0.0010345873591713882
