architecture,scheme,group_status,selected_injected_beta,tested_injected_beta,G_max,gradient_fidelity_passed,equilibrium_residual_passed,combined_gate_passed,minimum_cosine,maximum_symmetric_norm_difference,layer_comparisons,local_evidence,result_sha256
conv1,baseline,qualified,0.1,0.1,0.0005,True,True,True,0.9993042828353661,0.011082779628265512,16,provenance/bounded_beta_checks/conv1_baseline_gmax_5em4_decade3/result.json,c3705b9c772ed514bb1f80ad130bddaabd50bdb98cc3dc01aeb095578f1eca3d
conv1,baseline,qualified,0.1,0.1,0.001,True,True,True,0.9986854605604815,0.006225887356425507,16,provenance/bounded_beta_checks/conv1_baseline_gmax_1em3_decade3/result.json,b5a53fabda8b309b0899495cc3b51cfdd0c33ec2417286c39d8f35540c4133ec
conv1,ours,qualified,0.03,30.0,0.0001,False,True,False,0.5538060642061956,1.2966214452040072,16,provenance/bounded_beta_checks/conv1_ours_gmax_1em4_decade0/result.json,952b64cb49a42cdcd42e0b05fc6ef9706a75c7aabcd145f63d509bc8d8da3c8c
conv1,ours,qualified,0.03,30.0,0.0005,False,True,False,0.5450730067775478,1.2966214452040072,16,provenance/bounded_beta_checks/conv1_ours_gmax_5em4_decade0/result.json,5b758c803fe1adb9ed62044085596e948d93b06030e7d49e75cf7aa72ff6e1e1
conv1,ours,qualified,0.03,30.0,0.001,False,True,False,0.510194056802527,1.2966214452040072,16,provenance/bounded_beta_checks/conv1_ours_gmax_1em3_decade0/result.json,c18a28909e6d63cdbb0c42c031d8716c31a5510267f4e0409d8eb9ea59aa8bd3
conv1,ours,qualified,0.03,3.0,0.0001,False,True,False,0.9318727068800187,0.1312920392832273,16,provenance/bounded_beta_checks/conv1_ours_gmax_1em4_decade1/result.json,e9deb1993dae26ebedf251f6d3443f2e164df9e8aac271add13e127e89146735
conv1,ours,qualified,0.03,3.0,0.0005,False,True,False,0.9394879776579135,0.13534653515675157,16,provenance/bounded_beta_checks/conv1_ours_gmax_5em4_decade1/result.json,294baa4273808283a4ba9ba3f94f8f390f41574a923420dc7036c6e894a36942
conv1,ours,qualified,0.03,3.0,0.001,False,True,False,0.917500013529324,0.1587258578907521,16,provenance/bounded_beta_checks/conv1_ours_gmax_1em3_decade1/result.json,4bb2ba5dc9a34fbc4889662e6d04e219e626e38201dccb4ae462aeef1476bfa0
conv1,ours,qualified,0.03,0.3,0.0001,False,True,False,0.9778332458903031,0.059292967395444374,16,provenance/bounded_beta_checks/conv1_ours_gmax_1em4_decade2/result.json,308b21c2791f1f9766f23951463d7b540517a20c8cf75c17ad14644a87464dae
conv1,ours,qualified,0.03,0.3,0.0005,False,True,False,0.9857985756544351,0.017850806117876906,16,provenance/bounded_beta_checks/conv1_ours_gmax_5em4_decade2/result.json,236bebc0204795418c55bbaef7dc5dddf72059a554d13362d2f9a1a00560e708
conv1,ours,qualified,0.03,0.3,0.001,False,True,False,0.9822671200345222,0.03344956524159505,16,provenance/bounded_beta_checks/conv1_ours_gmax_1em3_decade2/result.json,69be90192fbaf69cbd94d2474a3946b0bb487db20e07a8bc347e6e15341eff51
conv1,ours,qualified,0.03,0.03,0.0001,True,True,True,0.9991005459362283,0.0077756970649210605,16,provenance/bounded_beta_checks/conv1_ours_gmax_1em4_decade3/result.json,1851e46450f60b3b10942cfaba3d55603e8c63b5038804aa74d93f8a19c23787
conv1,ours,qualified,0.03,0.03,0.0005,True,True,True,0.9995004589983792,0.005981068288167057,16,provenance/bounded_beta_checks/conv1_ours_gmax_5em4_decade3/result.json,3a321d15b5b5d671ba6f68c2e9b0ac34952d156cddacf4d6c9f76da1e250f210
conv1,ours,qualified,0.03,0.03,0.001,True,True,True,0.9985390483706363,0.013459553545903698,16,provenance/bounded_beta_checks/conv1_ours_gmax_1em3_decade3/result.json,65626cdb8b00901a99b41a2c206c3cabd48a22c215efef52819bd615db1e40f5
conv1,legacy,qualified,0.03,3.0,0.0001,False,True,False,0.8861582850035469,0.12779876588702344,16,provenance/bounded_beta_checks/conv1_legacy_gmax_1em4_decade0/result.json,d482c51a4f5ab70d51ea1f7ae626159cf03ec3e6f50abadb277c786458db07d6
conv1,legacy,qualified,0.03,3.0,0.0005,False,True,False,0.8956949931659496,0.11975383029199396,16,provenance/bounded_beta_checks/conv1_legacy_gmax_5em4_decade0/result.json,c40e21af16483d5bba4c52d3eb72510f879f12483a0698e2ee19cc026dd929af
conv1,legacy,qualified,0.03,3.0,0.001,False,True,False,0.8725350343646304,0.11975383029199396,16,provenance/bounded_beta_checks/conv1_legacy_gmax_1em3_decade0/result.json,f781b93cf9bc0516750919395c5cee98d983d5d7afd5b8e767b4c8e2c9c5244c
conv1,legacy,qualified,0.03,0.30000000000000004,0.0001,False,True,False,0.9876174169378403,0.05539795092285234,16,provenance/bounded_beta_checks/conv1_legacy_gmax_1em4_decade1/result.json,7cc01eade21ed2efafaaa421b62c7449232ed25c64dcee3e50a5848ec25dc79b
