architecture,scheme,beta,anchor,factor,checkpoint_role,layerwise_cosine,whole_gradient_cosine,layerwise_norm_delta,whole_gradient_norm_delta,residual_passed,state,result_directory
conv3,ours,150.0,3,50,reconstructed_initialization,-0.5916747592679091,0.6719665409951525,1.4460694903775044,0.9333778189663354,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta150
conv3,ours,150.0,3,50,best_validation,0.9497877436371257,0.9880193344749338,0.14518812098228814,0.02066921183256764,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta150
conv3,ours,225.0,3,75,reconstructed_initialization,-0.5579739075730895,0.5988507134105533,1.5013990674845668,1.2036769639005194,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta225
conv3,ours,225.0,3,75,best_validation,0.933289550828841,0.9833059444267672,0.1762277049585051,0.021228674931243363,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta225
conv3,ours,300.0,3,100,reconstructed_initialization,-0.7127053220990869,0.5596173137025986,1.538289350828657,1.366934300296505,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta300
conv3,ours,300.0,3,100,best_validation,0.9172177417952808,0.9778558151730254,0.16046791599289803,0.029167691032242773,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta300
conv3,ours,900.0,3,300,reconstructed_initialization,-0.8178642492978241,0.46962074428358963,1.7621975841356998,1.7620387643316515,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta900
conv3,ours,900.0,3,300,best_validation,0.7723726067094254,0.8615436814845828,0.32495060563200967,0.26610440750650677,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta900
conv3,ours,3000.0,3,1000,reconstructed_initialization,-0.8320159174808762,0.43665652987631715,1.9255000570332956,1.9254480047730158,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta3000
conv3,ours,3000.0,3,1000,best_validation,0.2685284782099371,0.5101853222134654,1.0682654298594607,1.0224015488017546,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta3000
conv3,legacy,1e-05,0.001,0.01,reconstructed_initialization,0.9999654023978465,0.9999999954514662,0.00033600207139544735,3.1016789201855643e-07,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta1e-05
