audit_phase,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,min_cosine,p05_cosine,median_cosine,max_norm_delta,failed
selection,0,75.0,best_validation,historical,DenseWeight_0,4,0.9999999946222909,0.9999999946434829,0.9999999948551291,3.725798677640475e-05,0
selection,0,75.0,best_validation,selection,ConvWeight_0,32,0.9999116109561006,0.9999473291207588,0.9999962335841179,0.011392181059098514,0
selection,0,75.0,best_validation,selection,ConvWeight_1,32,0.999904574411642,0.9999550241048707,0.9999896085253297,0.005271100930601635,0
selection,0,75.0,best_validation,selection,ConvWeight_2,32,0.999645326900283,0.9997677926078233,0.9999475730321784,0.0014228497633760814,0
selection,0,75.0,best_validation,selection,DenseWeight_0,32,0.9999999843761209,0.9999999856862734,0.9999999945008278,5.5430696294913244e-05,0
confirmation,0,10.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9989407240173004,0.9990340145147754,0.9995719264654623,0.039421251090740975,0
confirmation,0,10.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9995169511895472,0.9995342849918856,0.9996397966926792,0.00908718827601649,0
confirmation,0,10.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9997460465555235,0.9997471135702628,0.9997751157521504,0.0005354183768597172,0
confirmation,0,10.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999999922235879,0.9999999924306008,0.9999999940158772,3.3878793133751623e-06,0
confirmation,0,10.0,reconstructed_initialization,confirmation,ConvWeight_0,32,0.991247378122254,0.9971515774910499,0.999670962499249,0.08092024618582504,0
confirmation,0,10.0,reconstructed_initialization,confirmation,ConvWeight_1,32,0.9992102970727045,0.9994487920369635,0.9997013601100745,0.011598916111797896,0
confirmation,0,10.0,reconstructed_initialization,confirmation,ConvWeight_2,32,0.9996727976401631,0.9996945339132615,0.9997607729067928,0.0014918388760597485,0
confirmation,0,10.0,reconstructed_initialization,confirmation,DenseWeight_0,32,0.9999999908868196,0.9999999914457964,0.9999999938643929,3.410019001753758e-06,0
confirmation,0,10.0,best_validation,historical,ConvWeight_0,4,0.9999994294099585,0.9999994897073641,0.9999998689533769,0.0007257004825931712,0
confirmation,0,10.0,best_validation,historical,ConvWeight_1,4,0.999998116165123,0.9999983693238861,0.999999867806393,0.0004857701018732252,0
confirmation,0,10.0,best_validation,historical,ConvWeight_2,4,0.9999924879182323,0.999993587535058,0.999999880340314,7.828528637875167e-05,0
confirmation,0,10.0,best_validation,historical,DenseWeight_0,4,0.9999999947932356,0.9999999949095298,0.9999999960425388,3.6072735453082064e-05,0
confirmation,0,10.0,best_validation,confirmation,ConvWeight_0,32,0.9999549082065573,0.9999767857198872,0.9999999728276057,0.0007911795433514997,0
