architecture,scheme,beta,minimum_cosine,maximum_norm_mismatch,maximum_relative_l2_error,limiting_matrix,limiting_checkpoint,limiting_batch,origin
conv3,legacy,0.01,0.9996376117337723,0.017327242148712292,0.031654101856765586,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,legacy,0.02,0.9991489762708123,0.01988498886086072,0.041743937688628954,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,legacy,0.03,0.9986749219341005,0.023200292891485556,0.05237002704163047,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,legacy,0.05,0.9964415231182123,0.032740717680919955,0.084719778171557,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,legacy,0.075,0.9934172643601151,0.0467903123245871,0.11474471091940716,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,legacy,0.1,0.9911607140179312,0.05343476189619398,0.13275983084532542,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,legacy,0.3,0.9738911483263823,0.09138681896808994,0.2351421713282626,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,legacy,1.0,0.9606315461846276,0.11678907277440315,0.28092696560316593,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,legacy,1.5,0.9709959975034497,0.14707893436078007,0.24870167649752267,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv3,legacy,2.25,0.9664959942683143,0.17358959022588105,0.3187239874908192,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,legacy,2.35368431695,0.9648973638920163,0.17537498801277313,0.32911736150890997,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,legacy,2.46214660615,0.9633662490699167,0.1774099706480725,0.3391054539546323,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,legacy,2.57560704574,0.9602255986373642,0.1799623947376259,0.3478280167778216,ConvWeight_0,reconstructed_initialization,1,refined_grid
conv3,legacy,2.69429596008,0.9557605655024992,0.18460263031116758,0.3547160622833906,ConvWeight_0,reconstructed_initialization,1,refined_grid
conv3,legacy,2.81845428732,0.9519083376989829,0.19064490559906916,0.36263209564596843,ConvWeight_0,reconstructed_initialization,1,refined_grid
conv3,legacy,2.94833406849,0.9493799821103721,0.19602895449353802,0.36940904848076517,ConvWeight_0,reconstructed_initialization,1,refined_grid
conv3,legacy,3.08419895916,0.947282953911564,0.19731365409598164,0.37563205624281265,ConvWeight_0,reconstructed_initialization,1,refined_grid
conv3,legacy,3.22632476468,0.9453566416859456,0.19525841485396517,0.3810489617220801,ConvWeight_0,reconstructed_initialization,1,refined_grid
conv3,legacy,3.375,0.9450582383929823,0.19304128911201385,0.3846955372436891,ConvWeight_0,reconstructed_initialization,6,refined_grid
conv3,legacy,3.53052647542,0.939609999457593,0.18937302630018535,0.394043712375329,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,legacy,3.69321990923,0.9330469469135189,0.18961384752011687,0.41820225909060776,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,legacy,3.86341056862,0.9266000084904847,0.19071788378925664,0.44152528007519537,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,legacy,4.04144394013,0.9191466867622962,0.19162809256516897,0.46811589449722935,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,legacy,4.22768143098,0.9106368143400132,0.19189315324579836,0.49730780042620537,ConvWeight_0,reconstructed_initialization,34,refined_grid
