interpretation,architecture,scheme,injected_beta,seed,training_sigma,epochs,state,existing_bundle,existing_tracker,existing_plan
latest_p99_div10,conv3,legacy,2.81845428732,0,0.0003,30,missing,,,
latest_p99_div10,conv3,legacy,2.81845428732,0,0.0005,30,missing,,,
historical_conv1,conv1,baseline,100,0,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/baseline/seed0,current_contract_run_status.csv,
historical_conv1,conv1,baseline,100,1,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/baseline/seed1,current_contract_run_status.csv,
historical_conv1,conv1,baseline,100,2,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/baseline/seed2,current_contract_run_status.csv,
historical_conv1,conv1,baseline,100,0,1e-05,10,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_1e-05/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv1,baseline,100,0,3e-05,10,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_3e-05/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv1,baseline,100,0,0.0001,10,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_0.0001/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv1,baseline,100,0,0.0003,10,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_0.0003/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv1,baseline,100,0,0.0005,10,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_0.0005/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv1,ours,30,0,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0,current_contract_run_status.csv,
historical_conv1,conv1,ours,30,1,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed1,current_contract_run_status.csv,
historical_conv1,conv1,ours,30,2,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed2,current_contract_run_status.csv,
historical_conv1,conv1,ours,30,0,1e-05,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_1e-05/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,ours,30,0,3e-05,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_3e-05/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,ours,30,0,0.0001,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_0.0001/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,ours,30,0,0.0003,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_0.0003/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,ours,30,0,0.0005,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_0.0005/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,legacy,3,0,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed0,current_contract_run_status.csv,
historical_conv1,conv1,legacy,3,1,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed1,current_contract_run_status.csv,
historical_conv1,conv1,legacy,3,2,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed2,current_contract_run_status.csv,
historical_conv1,conv1,legacy,3,0,1e-05,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/legacy/sigma_1e-05/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,legacy,3,0,3e-05,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/legacy/sigma_3e-05/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,legacy,3,0,0.0001,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/legacy/sigma_0.0001/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,legacy,3,0,0.0003,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/legacy/sigma_0.0003/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv1,legacy,3,0,0.0005,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/legacy/sigma_0.0005/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv2,baseline,100.0,0,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,current_contract_run_status.csv,
historical_conv1,conv2,baseline,100.0,1,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed1,current_contract_run_status.csv,
historical_conv1,conv2,baseline,100.0,2,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed2,current_contract_run_status.csv,
historical_conv1,conv2,baseline,100.0,0,1e-05,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_1e-05/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv2,baseline,100.0,0,3e-05,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_3e-05/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv2,baseline,100.0,0,0.0001,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0001/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv2,baseline,100.0,0,0.0003,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0003/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv2,baseline,100.0,0,0.0005,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0005/seed0,baseline_read_noise_run_status_20260916.csv,
historical_conv1,conv2,ours,10.0,0,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0,current_contract_run_status.csv,
historical_conv1,conv2,ours,10.0,1,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed1,current_contract_run_status.csv,
historical_conv1,conv2,ours,10.0,2,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed2,current_contract_run_status.csv,
historical_conv1,conv2,ours,10.0,0,1e-05,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_1e-05/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv2,ours,10.0,0,3e-05,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_3e-05/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv2,ours,10.0,0,0.0001,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0001/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv2,ours,10.0,0,0.0003,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0003/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv2,ours,10.0,0,0.0005,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0005/seed0,read_noise_run_status_20260914.csv,
historical_conv1,conv2,legacy,3.0,0,0,30,missing,,,
historical_conv1,conv2,legacy,3.0,1,0,30,missing,,,
historical_conv1,conv2,legacy,3.0,2,0,30,missing,,,
historical_conv1,conv2,legacy,3.0,0,1e-05,30,missing,,,
historical_conv1,conv2,legacy,3.0,0,3e-05,30,missing,,,
historical_conv1,conv2,legacy,3.0,0,0.0001,30,missing,,,
historical_conv1,conv2,legacy,3.0,0,0.0003,30,missing,,,
historical_conv1,conv2,legacy,3.0,0,0.0005,30,missing,,,
historical_conv1,conv3,baseline,147.682614594,0,0,30,already_declared_unverified,,,docs/eqprop_conv3_p95_read_noise_1em3_plan_20260921.md
historical_conv1,conv3,baseline,147.682614594,1,0,30,missing,,,
historical_conv1,conv3,baseline,147.682614594,2,0,30,missing,,,
historical_conv1,conv3,baseline,147.682614594,0,1e-05,30,missing,,,
historical_conv1,conv3,baseline,147.682614594,0,3e-05,30,missing,,,
historical_conv1,conv3,baseline,147.682614594,0,0.0001,30,missing,,,
