phase,architecture,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,minimum_cosine,fifth_percentile_cosine,median_cosine,maximum_norm_delta,cosine_failures,norm_failures,combined_failures
selection,conv1,0,100.0,best_validation,historical,ConvWeight_0,4,0.998916691826309,0.9989179751811758,0.9991191158726747,0.004868633338287544,0,0,0
selection,conv1,0,100.0,best_validation,historical,DenseWeight_0,4,0.9999998918445181,0.999999895118795,0.999999942039039,3.473220826310234e-05,0,0,0
selection,conv1,0,100.0,best_validation,selection,ConvWeight_0,32,0.9976162238183232,0.9977477731486831,0.9990663438191126,0.01344189048562237,0,0,0
selection,conv1,0,100.0,best_validation,selection,DenseWeight_0,32,0.9999997941528501,0.9999998518160051,0.9999999419116004,0.0001029445264129815,0,0,0
selection,conv1,0,200.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9995759261806763,0.9995957648215895,0.9997363844276385,0.0043952392012233,0,0,0
selection,conv1,0,200.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999998852208606,0.9999998865202687,0.9999998947484581,6.071697592377029e-06,0,0,0
selection,conv1,0,200.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9994814157999954,0.9995974273814956,0.9997017984893867,0.003502837424185737,0,0,0
selection,conv1,0,200.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999998653979528,0.9999998771321239,0.9999998935740495,9.082344809254012e-06,0,0,0
selection,conv1,0,200.0,best_validation,historical,ConvWeight_0,4,0.9973702276059686,0.9974190476478159,0.9977239341463475,0.007781023159126576,0,0,0
selection,conv1,0,200.0,best_validation,historical,DenseWeight_0,4,0.9999991101343034,0.9999991579593426,0.9999996160581905,7.907924061006885e-05,0,0,0
selection,conv1,0,200.0,best_validation,selection,ConvWeight_0,32,0.9945161944061491,0.9953400451924048,0.9978224898376553,0.016226906123374837,0,0,0
selection,conv1,0,200.0,best_validation,selection,DenseWeight_0,32,0.9999987115655131,0.9999989211086514,0.9999996255083403,0.0001405703331487879,0,0,0
selection,conv1,0,300.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9994598157379042,0.9994741354410922,0.9995804269854293,0.005865026316683501,0,0,0
selection,conv1,0,300.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999995810770966,0.9999995877244701,0.9999996280008375,1.2662142020484948e-05,0,0,0
selection,conv1,0,300.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9992843914086615,0.9993541358743253,0.9995403632803841,0.0053803423448832224,0,0,0
selection,conv1,0,300.0,reconstructed_initialization,selection,DenseWeight_0,32,0.999999509928787,0.999999569379417,0.9999996208665594,1.9648045046895212e-05,0,0,0
selection,conv1,0,300.0,best_validation,historical,ConvWeight_0,4,0.9957003025442507,0.9957591537157315,0.9964349987635415,0.01355638233740054,0,0,0
selection,conv1,0,300.0,best_validation,historical,DenseWeight_0,4,0.9999970948010294,0.9999972860557584,0.9999988617168265,0.00016040046062241393,0,0,0
selection,conv1,0,300.0,best_validation,selection,ConvWeight_0,32,0.9922382620274695,0.9926031230888058,0.9967573846552475,0.028337776370339535,0,0,0
selection,conv1,0,300.0,best_validation,selection,DenseWeight_0,32,0.9999960489783243,0.9999967059559353,0.9999988417657377,0.00019956745174342408,0,0,0
confirmation,conv2,0,100.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9949281043691918,0.9952196081674175,0.9975085669085125,0.04466993491620747,0,0,0
confirmation,conv2,0,100.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9976047961417164,0.997626395554926,0.9981130408197094,0.0077201250050968956,0,0,0
confirmation,conv2,0,100.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999954967730837,0.9999954999104043,0.9999958525056938,7.951731174990484e-05,0,0,0
confirmation,conv2,0,100.0,reconstructed_initialization,confirmation,ConvWeight_0,32,0.991172742293222,0.994163822191437,0.99838430339497,0.04637441488127268,0,0,0
confirmation,conv2,0,100.0,reconstructed_initialization,confirmation,ConvWeight_1,32,0.9980858406517142,0.998093492961856,0.998462925599833,0.007705711304736643,0,0,0
confirmation,conv2,0,100.0,reconstructed_initialization,confirmation,DenseWeight_0,32,0.9999954574878188,0.9999955681276351,0.9999963306049954,9.742766745623033e-05,0,0,0
confirmation,conv2,0,100.0,best_validation,historical,ConvWeight_0,4,0.9993874601071124,0.9994359072147261,0.9997588677612625,0.0068179190719672746,0,0,0
confirmation,conv2,0,100.0,best_validation,historical,ConvWeight_1,4,0.9981459576702337,0.9983548425391279,0.9996174477806079,0.0006471551487013783,0,0,0
confirmation,conv2,0,100.0,best_validation,historical,DenseWeight_0,4,0.9999999314653994,0.9999999388461844,0.9999999815102816,3.659282229991857e-05,0,0,0
confirmation,conv2,0,100.0,best_validation,confirmation,ConvWeight_0,32,0.997114802908255,0.9991191529310812,0.9999246447180443,0.009351612963309709,0,0,0
confirmation,conv2,0,100.0,best_validation,confirmation,ConvWeight_1,32,0.9937844418638806,0.9988919164274357,0.9997711588121456,0.006170398731352,0,0,0
confirmation,conv2,0,100.0,best_validation,confirmation,DenseWeight_0,32,0.9999994800463202,0.9999999409385144,0.9999999926217261,0.0002345961899428919,0,0,0
