architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms
conv2,baseline,0,H1,negative_minus_matched_zero,7225344,0.040326743624621464,7.470803485615905e-05,-3.466823935023312e-08,1.652173091044602e-05,36,7.35249934231729e-05,7.253964235553278e-05,5.9580182481596866e-05,8.657668854892745e-05,1.3430423151393838e-05,0.0008392628564226494
conv2,baseline,0,H1,positive_minus_free,7225344,0.04044432663596823,7.481687084125479e-05,7.37979804316956e-08,1.6523859010634266e-05,36,7.362478738076883e-05,7.296079908540098e-05,5.962491945536467e-05,8.647400076252975e-05,1.349113406446623e-05,0.0008404742751788052
conv2,baseline,0,H1,positive_minus_matched_zero,7225344,0.040443016789427105,7.481565930652163e-05,6.959836116780777e-08,1.6523756191162013e-05,36,7.36236135359974e-05,7.296061389029207e-05,5.962494784537586e-05,8.647217596209974e-05,1.3490812392543551e-05,0.0008404607468211422
conv2,baseline,0,H1,zero_nudge_drift,7225344,4.4204751444541e-09,2.473461825975441e-08,4.199619263887837e-09,5.95958923167415e-09,36,2.4511062281873232e-08,2.4255898371772627e-08,2.1073150098585994e-08,2.8720861824152905e-08,3.3650726407641437e-09,0.13084846830476973
conv2,baseline,1,H2,centered_halfspan,3612672,8.645953455711298,0.0015470066482121357,1.1029418456739888e-07,0.0002957697567429592,36,0.0015213750840258435,0.0014940880423989808,0.0012450552877305613,0.0018530197642474449,0.00028441957133003,0.017378808696377562
conv2,baseline,1,H2,negative_minus_free,3612672,8.654584757802139,0.0015477786481387166,-1.0186918078488811e-07,0.00029576346522106615,36,0.0015222006544678172,0.0014949742979046242,0.0012443467761252256,0.0018542044498343914,0.0002841961496766931,0.017387597708358318
conv2,baseline,1,H2,negative_minus_matched_zero,3612672,8.654593756070849,0.0015477794527599057,-1.0383812514405783e-07,0.0002957635269893752,36,0.001522201475824901,0.0014949742388356616,0.0012443471423868322,0.00185420528827209,0.00028419613196125596,0.017387605056626284
conv2,baseline,1,H2,positive_minus_free,3612672,8.667732056553167,0.0015489538279173322,1.1871918834991082e-07,0.00029577609784108493,36,0.0015231549968074474,0.0014991524825585698,0.00124583102136666,0.0018553736579015939,0.00028551934645130946,0.017400565289164685
conv2,baseline,1,H2,positive_minus_matched_zero,3612672,8.667723055401195,0.001548953023648561,1.1675024399074039e-07,0.000295776035832959,36,0.0015231541740936417,0.001499152530984291,0.0012458312712187755,0.0018553728207070374,0.0002855193729129365,0.017400557946203328
conv2,baseline,1,H2,zero_nudge_drift,3612672,7.0545019542921e-10,1.397394123291707e-08,1.9689443591701224e-09,3.403456235460516e-09,36,1.3779571826337372e-08,1.3727146483363944e-08,1.0771696040559482e-08,1.6387581876238415e-08,2.355538270895396e-09,0.07392346982298724
