architecture,scheme,checkpoint_role,grouping,cosine_threshold,norm_gate,current_anchor,ratio_to_anchor,selected_beta,upper_edge_open,passing_regions,passing_count
conv2,baseline,reconstructed_initialization,layerwise,0.95,False,100,5.0,500.0,False,"[{'low': 1.0, 'high': 500.0}]",8
conv2,baseline,reconstructed_initialization,layerwise,0.99,False,100,1.0,100.0,False,"[{'low': 1.0, 'high': 100.0}]",5
conv2,baseline,reconstructed_initialization,layerwise,0.9,True,100,3.0,300.0,False,"[{'low': 1.0, 'high': 300.0}]",7
conv2,baseline,reconstructed_initialization,layerwise,0.95,True,100,3.0,300.0,False,"[{'low': 1.0, 'high': 300.0}]",7
conv2,baseline,reconstructed_initialization,layerwise,0.99,True,100,1.0,100.0,False,"[{'low': 1.0, 'high': 100.0}]",5
conv2,baseline,reconstructed_initialization,whole_gradient,0.9,False,100,30.0,3000.0,False,"[{'low': 1.0, 'high': 3000.0}]",12
conv2,baseline,reconstructed_initialization,whole_gradient,0.95,False,100,20.0,2000.0,False,"[{'low': 1.0, 'high': 2000.0}]",11
conv2,baseline,reconstructed_initialization,whole_gradient,0.99,False,100,10.0,1000.0,False,"[{'low': 1.0, 'high': 1000.0}]",10
conv2,baseline,reconstructed_initialization,whole_gradient,0.9,True,100,20.0,2000.0,False,"[{'low': 1.0, 'high': 2000.0}]",11
conv2,baseline,reconstructed_initialization,whole_gradient,0.95,True,100,20.0,2000.0,False,"[{'low': 1.0, 'high': 2000.0}]",11
conv2,baseline,reconstructed_initialization,whole_gradient,0.99,True,100,10.0,1000.0,False,"[{'low': 1.0, 'high': 1000.0}]",10
conv2,baseline,best_validation,layerwise,0.9,False,100,75.0,7500.0,False,"[{'low': 1.0, 'high': 7500.0}]",14
conv2,baseline,best_validation,layerwise,0.95,False,100,30.0,3000.0,False,"[{'low': 1.0, 'high': 3000.0}]",12
conv2,baseline,best_validation,layerwise,0.99,False,100,5.0,500.0,False,"[{'low': 1.0, 'high': 500.0}]",8
