architecture,scheme,checkpoint_role,T,K,injected_beta,base_beta,layer_index,state_layer_name,phase,raw_rms,controlled_rms,zero_drift_rms,raw_to_control_ratio,drift_to_control_ratio,response_over_max_T_response,max_reference_T,free_state_rms,free_state_mean,batch_median_drift_to_control,batch_p95_drift_to_control,batch_max_drift_to_control,source_checkpoint_epoch
conv3,legacy,best_validation,10,8,0.001,2.44140625e-07,2,Layer_2,positive,6.468337319895013e-09,6.468410293899724e-09,2.385170188665798e-12,0.9999887184019882,0.00036874132596616857,0.9999999999968755,24,4.530963059654907,-0.07911287195994907,0.00016147778367171063,0.0006101462256024883,0.0016451838868604433,27
conv3,legacy,best_validation,10,8,0.001,2.44140625e-07,2,Layer_2,negative,6.46849106149677e-09,6.468417208196583e-09,2.385170188665798e-12,1.0000114175226813,0.00036874093180683866,0.9999999999958794,24,4.530963059654907,-0.07911287195994907,0.00016147778411985153,0.000610146233077378,0.0016451838955363232,27
conv3,legacy,best_validation,10,8,0.001,2.44140625e-07,3,Layer_3,positive,8.633702314303066e-07,8.633703440554878e-07,2.6341322342883095e-11,0.9999998695517144,3.0509876235904356e-05,0.9999999999945819,24,0.48681484009120113,-0.035007060342250144,1.3301337478568804e-05,5.0478033137371224e-05,0.00014866031944106448,27
conv3,legacy,best_validation,10,8,0.001,2.44140625e-07,3,Layer_3,negative,8.633698885889745e-07,8.633697751600317e-07,2.6341322342883095e-11,1.00000013137933,3.0509896339607838e-05,0.9999999999945978,24,0.48681484009120113,-0.035007060342250144,1.3301337478566479e-05,5.0478033136616355e-05,0.00014866031944190284,27
conv3,legacy,best_validation,10,8,0.001,2.44140625e-07,4,Layer_4,positive,0.007874015372605906,0.00787401537296442,5.3833157107276475e-11,0.9999999999544688,6.83681127828549e-09,0.9999999999955189,24,0.39288266189964854,-0.11732154323079268,2.5335141008361277e-09,1.064603593160564e-08,3.582771728313918e-08,27
conv3,legacy,best_validation,10,8,0.001,2.44140625e-07,4,Layer_4,negative,0.007874015371817927,0.007874015371459413,5.3833157107276475e-11,1.0000000000455311,6.83681127959225e-09,0.9999999999955194,24,0.39288266189964854,-0.11732154323079268,2.5335141008361302e-09,1.064603593160561e-08,3.582771728313918e-08,27
conv2,legacy,reconstructed_initialization,8,6,0.03,0.0001171875,1,Layer_1,positive,9.101541332402055e-07,9.052108285306219e-07,7.584212408448551e-08,1.0054609429690624,0.0837839337467889,1.0000000169347778,16,1.8994431853763543,-0.0010806747703051814,0.08197215925699952,0.09796915811729012,0.09964909603504829,0
conv2,legacy,reconstructed_initialization,8,6,0.03,0.0001171875,1,Layer_1,negative,9.065458637219084e-07,9.051381877166053e-07,7.584212408448551e-08,1.0015552056298214,0.08379065772908406,1.0000000169766163,16,1.8994431853763543,-0.0010806747703051814,0.08199885731323543,0.09799535743464019,0.09966198200294217,0
conv2,legacy,reconstructed_initialization,8,6,0.03,0.0001171875,2,Layer_2,positive,6.565566581557125e-05,6.565509147396921e-05,1.4987723259551001e-07,1.0000087478608155,0.0022827967980965044,1.000000013058575,16,0.4082904191953167,0.0038546725949808115,0.0022210779150146666,0.002684551934832138,0.00281211042079114,0
conv2,legacy,reconstructed_initialization,8,6,0.03,0.0001171875,2,Layer_2,negative,6.56549249230963e-05,6.565515536725585e-05,1.4987723259551001e-07,0.999996490082793,0.0022827945765589975,1.0000000130577138,16,0.4082904191953167,0.0038546725949808115,0.0022210195664131376,0.0026846333928899997,0.002811800958111747,0
