architecture,scheme,epoch,checkpoint_role,parameter,layer_index,parameter_count,sigma,n_batches,n_comparisons,ep_l2_mean,ep_rms_mean,ep_l2_median,ep_rms_median,ep_l2_p10,ep_rms_p10,ep_l2_p90,ep_rms_p90,ep_l2_std,ep_rms_std,bptt_l2_mean,bptt_rms_mean,bptt_l2_median,bptt_rms_median,bptt_l2_p10,bptt_rms_p10,bptt_l2_p90,bptt_rms_p90,bptt_l2_std,bptt_rms_std,clean_ep_l2_mean,clean_ep_rms_mean,clean_ep_l2_median,clean_ep_rms_median,clean_ep_l2_p10,clean_ep_rms_p10,clean_ep_l2_p90,clean_ep_rms_p90,clean_ep_l2_std,clean_ep_rms_std,ep_over_clean_ep_mean,ep_over_clean_ep_median,ep_over_clean_ep_p10,ep_over_clean_ep_p90,ep_over_clean_ep_std,ep_zero_fraction_mean,ep_zero_fraction_median,ep_zero_fraction_p10,ep_zero_fraction_p90,ep_zero_fraction_std
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_1,1,73728,0.0003,36,288,0.7423578514703759,0.0027339909939675974,0.7370004012654562,0.0027142603201667226,0.6897665975092683,0.0025403054090352897,0.7920723011100943,0.0029170817463801076,0.04112894946851647,0.00015147166183472315,0.00860279993757979,3.1682802984655614e-05,0.008126144751964624,2.9927354474050322e-05,0.0053818663342346815,1.9820594689463177e-05,0.012875754448476754,4.7419444184431086e-05,0.0028507166273151778,1.0498755512582324e-05,0.008602303161080464,3.1680973432408697e-05,0.008126370404891937,2.9928185519441452e-05,0.005381501347666206,1.981925049947562e-05,0.012875277640540198,4.7417688173362015e-05,0.002850148118147503,1.0496661779834253e-05,95.6248134057717,90.73668471189518,60.43967782257897,134.95453585012064,30.565194575297564,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_1,1,73728,0.0005,36,288,1.2372227355453145,0.004556503052824284,1.2283908654955185,0.004523976619476528,1.1495962505368673,0.004233788043652334,1.3201691230694093,0.004861981975184777,0.06852840224730644,0.0002523796767341137,0.00860279993757979,3.1682802984655614e-05,0.008126144751964624,2.9927354474050322e-05,0.0053818663342346815,1.9820594689463177e-05,0.012875754448476754,4.7419444184431086e-05,0.0028507166273151778,1.0498755512582324e-05,0.008602303161080464,3.1680973432408697e-05,0.008126370404891937,2.9928185519441452e-05,0.005381501347666206,1.981925049947562e-05,0.012875277640540198,4.7417688173362015e-05,0.002850148118147503,1.0496661779834253e-05,159.37035770709886,151.22557176973623,100.75390175799447,224.91365740187965,50.94279686186332,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_2,2,294912,0,36,36,0.0983085725895829,0.00018102775605954171,0.09835270068954124,0.00018110901459787878,0.06810583617985842,0.00012541171510718231,0.12836670351064483,0.00023637751700765616,0.0249062092772747,4.5862889254198546e-05,0.09830818768320769,0.00018102704728373956,0.0983614969494791,0.0001811252122412411,0.06810616466804509,0.00012541231999318317,0.1283667283455267,0.00023637756273920142,0.02490590231076567,4.586232399872945e-05,0.0983085725895829,0.00018102775605954171,0.09835270068954124,0.00018110901459787878,0.06810583617985842,0.00012541171510718231,0.12836670351064483,0.00023637751700765616,0.0249062092772747,4.5862889254198546e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_2,2,294912,1e-05,36,288,0.10028109196098474,0.00018466000039167732,0.10012119827716633,0.00018436556833934165,0.07061227059695731,0.00013002712337002078,0.13234334535159067,0.00024370020037245554,0.024152674917591006,4.447531306776781e-05,0.09830818768320768,0.00018102704728373953,0.0983614969494791,0.0001811252122412411,0.0680671414985951,0.00012534046179593972,0.13107342946925415,0.0002413617469038705,0.024600296843606657,4.5299574784677836e-05,0.09830857258958291,0.00018102775605954174,0.09835270068954124,0.00018110901459787878,0.06806637615586904,0.00012533905247554512,0.13107442953118373,0.00024136358844181844,0.024600600043512808,4.530013310423434e-05,1.0225373231658783,1.0191195734470937,1.0096653508589535,1.040926244747349,0.011935899109460451,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_2,2,294912,3e-05,36,288,0.11475234815756287,0.00021130771755024046,0.11359669124879053,0.00020917966328743315,0.08858483724632407,0.00016312223731037085,0.1429849765043341,0.0002632959544114943,0.02156279857445649,3.970625284728595e-05,0.09830818768320768,0.00018102704728373953,0.0983614969494791,0.0001811252122412411,0.0680671414985951,0.00012534046179593972,0.13107342946925415,0.0002413617469038705,0.024600296843606657,4.5299574784677836e-05,0.09830857258958291,0.00018102775605954174,0.09835270068954124,0.00018110901459787878,0.06806637615586904,0.00012533905247554512,0.13107442953118373,0.00024136358844181844,0.024600600043512808,4.530013310423434e-05,1.1861507618304497,1.1609748518243694,1.0889244307447994,1.315858950702243,0.0857260813867832,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_2,2,294912,0.0001,36,288,0.21791622668566404,0.00040127615005213006,0.21509790606136578,0.0003960864270703613,0.19906810617620585,0.0003665687702998927,0.24303380580236317,0.0004475282607823581,0.0170074047144771,3.1317841677059414e-05,0.09830818768320768,0.00018102704728373953,0.0983614969494791,0.0001811252122412411,0.0680671414985951,0.00012534046179593972,0.13107342946925415,0.0002413617469038705,0.024600296843606657,4.5299574784677836e-05,0.09830857258958291,0.00018102775605954174,0.09835270068954124,0.00018110901459787878,0.06806637615586904,0.00012533905247554512,0.13107442953118373,0.00024136358844181844,0.024600600043512808,4.530013310423434e-05,2.3229252604658748,2.21371917779572,1.762809807689695,3.0107964779498455,0.46751906972588636,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_2,2,294912,0.0003,36,288,0.5888656578162428,0.0010843513016920376,0.5861804771227446,0.0010794067457621317,0.5443373563857347,0.0010023558227956028,0.6305672882114256,0.0011611416809601855,0.03773342489678872,6.948323078623076e-05,0.09830818768320768,0.00018102704728373953,0.0983614969494791,0.0001811252122412411,0.0680671414985951,0.00012534046179593972,0.13107342946925415,0.0002413617469038705,0.024600296843606657,4.5299574784677836e-05,0.09830857258958291,0.00018102775605954174,0.09835270068954124,0.00018110901459787878,0.06806637615586904,0.00012533905247554512,0.13107442953118373,0.00024136358844181844,0.024600600043512808,4.530013310423434e-05,6.341252728769039,6.006395553445948,4.486339374123471,8.56359094747863,1.5324494822891341,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_2,2,294912,0.0005,36,288,0.9722189428387276,0.0017902672064564603,0.9689993207003227,0.0017843385172717613,0.8994531990624562,0.0016562746260859282,1.0425301405339564,0.001919739926986784,0.0625389799585841,0.00011516077296146982,0.09830818768320768,0.00018102704728373953,0.0983614969494791,0.0001811252122412411,0.0680671414985951,0.00012534046179593972,0.13107342946925415,0.0002413617469038705,0.024600296843606657,4.5299574784677836e-05,0.09830857258958291,0.00018102775605954174,0.09835270068954124,0.00018110901459787878,0.06806637615586904,0.00012533905247554512,0.13107442953118373,0.00024136358844181844,0.024600600043512808,4.530013310423434e-05,10.480081721545098,9.91140621810035,7.351523536069931,14.208581957020868,2.5744306389609286,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,DenseWeight_0,3,250880,0,36,36,0.032920042662315435,6.572451179922363e-05,0.03166426708137184,6.321736933183599e-05,0.02403513026474991,4.7985879571467244e-05,0.04419697301245271,8.823878219247136e-05,0.007740171274352761,1.545316886334281e-05,0.032920277380779156,6.572498041211688e-05,0.031664489229862286,6.321781284891253e-05,0.024035227534332765,4.7986073769145284e-05,0.04419820996841331,8.824125176176874e-05,0.0077401743780107415,1.545317505976265e-05,0.032920042662315435,6.572451179922363e-05,0.03166426708137184,6.321736933183599e-05,0.02403513026474991,4.7985879571467244e-05,0.04419697301245271,8.823878219247136e-05,0.007740171274352761,1.545316886334281e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,DenseWeight_0,3,250880,1e-05,36,288,0.03292088103126497,6.572618559383201e-05,0.03167363255348511,6.323606739637764e-05,0.023343102844554337,4.660425425552875e-05,0.04610717969631442,9.205248933192603e-05,0.007643816094815952,1.526079678171022e-05,0.03292027738077915,6.572498041211687e-05,0.031664489229862286,6.321781284891253e-05,0.02333276772423019,4.658362029874265e-05,0.046114963583901374,9.206802977993821e-05,0.007645199316390038,1.5263558368734864e-05,0.03292004266231544,6.572451179922364e-05,0.03166426708137184,6.321736933183599e-05,0.023332096370990225,4.658227994920562e-05,0.0461133318856786,9.20647721119517e-05,0.007645196250815192,1.526355224834759e-05,1.000034370763698,1.00002913678164,0.9995265590272668,1.0005566481165984,0.00041452674558388177,0.0,0.0,0.0,0.0,0.0
